ma_sinh_vien,hoc_ky,diem_ren_luyen,xep_loai_rl,loai_hoc_bong,muc_tien_hb,hinh_thuc_ky_luat,ly_do_ky_luat
B22DCKT053,HK3-2024-25,,,,0,,
B22DCKT062,HK3-2024-25,,,,0,,
B22DCKT077,HK3-2024-25,,,,0,,
B23DCKT070,HK3-2024-25,,,,0,,
B24DCKT056,HK3-2024-25,,,,0,,
B24DCKT060,HK3-2024-25,,,,0,,
B24DCKT078,HK3-2024-25,,,,0,,
B24DCKT096,HK3-2024-25,,,,0,,
B24DCKT119,HK3-2024-25,,,,0,,
B24DCKT141,HK3-2024-25,,,,0,,
B22DCKT053,HK3-2024-25,,,,0,,
B22DCKT062,HK3-2024-25,,,,0,,
B22DCKT077,HK3-2024-25,,,,0,,
B22DCVT050,HK3-2024-25,,,,0,,
B23DCKT070,HK3-2024-25,,,,0,,
B23DCVT010,HK3-2024-25,,,,0,,
B23DCVT037,HK3-2024-25,,,,0,,
B23DCVT037,HK3-2024-25,,,,0,,
B23DCVT097,HK3-2024-25,,,,0,,
B23DCVT108,HK3-2024-25,,,,0,,
B24DCKT056,HK3-2024-25,,,,0,,
B24DCKT060,HK3-2024-25,,,,0,,
B24DCKT078,HK3-2024-25,,,,0,,
B24DCKT096,HK3-2024-25,,,,0,,
B24DCKT119,HK3-2024-25,,,,0,,
B24DCKT141,HK3-2024-25,,,,0,,
B24DCVT023,HK3-2024-25,,,,0,,
B24DCVT076,HK3-2024-25,,,,0,,
B24DCVT085,HK3-2024-25,,,,0,,
B24DCVT112,HK3-2024-25,,,,0,,
B24DCVT119,HK3-2024-25,,,,0,,
B21DCCN023,HK3-2024-25,,,,0,,
B21DCCN045,HK3-2024-25,,,,0,,
B21DCCN045,HK3-2024-25,,,,0,,
B22DCKT053,HK3-2024-25,,,,0,,
B22DCKT062,HK3-2024-25,,,,0,,
B22DCKT077,HK3-2024-25,,,,0,,
B22DCVT050,HK3-2024-25,,,,0,,
B22DCCN043,HK3-2024-25,,,,0,,
B22DCCN112,HK3-2024-25,,,,0,,
B23DCKT070,HK3-2024-25,,,,0,,
B23DCVT010,HK3-2024-25,,,,0,,
B23DCVT037,HK3-2024-25,,,,0,,
B23DCVT097,HK3-2024-25,,,,0,,
B23DCVT108,HK3-2024-25,,,,0,,
B23DCCN012,HK3-2024-25,,,,0,,
B23DCCN020,HK3-2024-25,,,,0,,
B23DCCN053,HK3-2024-25,,,,0,,
B23DCCN072,HK3-2024-25,,,,0,,
B23DCCN097,HK3-2024-25,,,,0,,
B23DCCN134,HK3-2024-25,,,,0,,
B23DCCN140,HK3-2024-25,,,,0,,
B24DCKT056,HK3-2024-25,,,,0,,
B24DCKT060,HK3-2024-25,,,,0,,
B24DCKT078,HK3-2024-25,,,,0,,
B24DCKT096,HK3-2024-25,,,,0,,
B24DCKT119,HK3-2024-25,,,,0,,
B24DCKT141,HK3-2024-25,,,,0,,
B24DCVT023,HK3-2024-25,,,,0,,
B24DCVT076,HK3-2024-25,,,,0,,
B24DCVT085,HK3-2024-25,,,,0,,
B24DCVT112,HK3-2024-25,,,,0,,
B24DCVT119,HK3-2024-25,,,,0,,
B24DCCN015,HK3-2024-25,,,,0,,
B24DCCN017,HK3-2024-25,,,,0,,
B24DCCN056,HK3-2024-25,,,,0,,
B24DCCN070,HK3-2024-25,,,,0,,
B24DCCN118,HK3-2024-25,,,,0,,
B24DCCN145,HK3-2024-25,,,,0,,
