ma_sinh_vien,hoc_ky,diem_ren_luyen,xep_loai_rl,loai_hoc_bong,muc_tien_hb,hinh_thuc_ky_luat,ly_do_ky_luat
B21DCVT065,HK1-2025-26,92,Xuất sắc,KKHT Loại Xuất sắc,8000000,,
B21DCVT127,HK1-2025-26,79,Khá,KKHT Loại Khá,1200000,,
B21DCVT004,HK1-2025-26,77,Khá,KKHT Loại Khá,1200000,,
B21DCVT057,HK1-2025-26,63,Trung bình,,0,,
B21DCVT072,HK1-2025-26,86,Tốt,KKHT Loại Giỏi,3600000,,
B21DCVT026,HK1-2025-26,81,Tốt,KKHT Loại Giỏi,3600000,,
B21DCVT114,HK1-2025-26,81,Tốt,KKHT Loại Giỏi,3600000,,
B21DCVT103,HK1-2025-26,80,Tốt,KKHT Loại Giỏi,3600000,,
B21DCVT040,HK1-2025-26,77,Khá,KKHT Loại Khá,1200000,,
B21DCVT050,HK1-2025-26,77,Khá,KKHT Loại Khá,1200000,,
B21DCVT008,HK1-2025-26,74,Khá,,0,,
B21DCVT012,HK1-2025-26,58,Trung bình,,0,,
B21DCVT097,HK1-2025-26,84,Tốt,,0,,
B21DCVT035,HK1-2025-26,75,Khá,,0,,
B21DCVT094,HK1-2025-26,70,Khá,,0,,
B21DCVT051,HK1-2025-26,83,Tốt,,0,,
B21DCVT015,HK1-2025-26,81,Tốt,,0,,
B21DCVT032,HK1-2025-26,80,Tốt,,0,,
B21DCVT007,HK1-2025-26,76,Khá,,0,,
B21DCVT093,HK1-2025-26,75,Khá,,0,,
B21DCVT105,HK1-2025-26,74,Khá,,0,,
B21DCVT109,HK1-2025-26,74,Khá,,0,,
B21DCVT096,HK1-2025-26,73,Khá,,0,,
B21DCVT003,HK1-2025-26,71,Khá,,0,,
B21DCVT064,HK1-2025-26,71,Khá,,0,,
B21DCVT121,HK1-2025-26,71,Khá,,0,,
B21DCVT090,HK1-2025-26,70,Khá,,0,,
B21DCVT106,HK1-2025-26,66,Khá,,0,,
B21DCVT124,HK1-2025-26,65,Khá,,0,,
B21DCVT076,HK1-2025-26,63,Trung bình,,0,,
B21DCVT084,HK1-2025-26,63,Trung bình,,0,,
B21DCVT122,HK1-2025-26,63,Trung bình,,0,,
B21DCVT102,HK1-2025-26,58,Trung bình,,0,,
B21DCVT055,HK1-2025-26,57,Trung bình,,0,,
B21DCVT079,HK1-2025-26,57,Trung bình,,0,,
B21DCVT129,HK1-2025-26,53,Trung bình,,0,,
B21DCVT119,HK1-2025-26,52,Trung bình,,0,,
B21DCVT073,HK1-2025-26,81,Tốt,,0,,
B21DCVT016,HK1-2025-26,75,Khá,,0,,
B21DCVT110,HK1-2025-26,75,Khá,,0,,
B21DCVT039,HK1-2025-26,74,Khá,,0,,
B21DCVT077,HK1-2025-26,72,Khá,,0,,
B21DCVT002,HK1-2025-26,71,Khá,,0,,
B21DCVT025,HK1-2025-26,70,Khá,,0,,
B21DCVT066,HK1-2025-26,70,Khá,,0,,
B21DCVT091,HK1-2025-26,69,Khá,,0,,
B21DCVT001,HK1-2025-26,68,Khá,,0,,
B21DCVT085,HK1-2025-26,66,Khá,,0,,
B21DCVT061,HK1-2025-26,65,Khá,,0,,
B21DCVT113,HK1-2025-26,64,Trung bình,,0,,
B21DCVT059,HK1-2025-26,62,Trung bình,,0,,
B21DCVT095,HK1-2025-26,60,Trung bình,,0,,
B21DCVT126,HK1-2025-26,60,Trung bình,,0,,
B21DCVT023,HK1-2025-26,55,Trung bình,,0,,
B21DCVT101,HK1-2025-26,54,Trung bình,,0,,
B21DCVT086,HK1-2025-26,52,Trung bình,,0,,
B21DCVT037,HK1-2025-26,42,Yếu,,0,,
B21DCVT034,HK1-2025-26,75,Khá,,0,,
B21DCVT082,HK1-2025-26,75,Khá,,0,,
B21DCVT010,HK1-2025-26,72,Khá,,0,,
B21DCVT074,HK1-2025-26,72,Khá,,0,,
B21DCVT024,HK1-2025-26,69,Khá,,0,,
B21DCVT038,HK1-2025-26,69,Khá,,0,,
B21DCVT067,HK1-2025-26,67,Khá,,0,,
B21DCVT089,HK1-2025-26,67,Khá,,0,,
B21DCVT011,HK1-2025-26,66,Khá,,0,,
B21DCVT052,HK1-2025-26,64,Trung bình,,0,,
B21DCVT118,HK1-2025-26,64,Trung bình,,0,,
B21DCVT063,HK1-2025-26,63,Trung bình,,0,,
B21DCVT075,HK1-2025-26,63,Trung bình,,0,,
B21DCVT033,HK1-2025-26,62,Trung bình,,0,,
B21DCVT104,HK1-2025-26,60,Trung bình,,0,,
B21DCVT111,HK1-2025-26,59,Trung bình,,0,,
B21DCVT014,HK1-2025-26,58,Trung bình,,0,,
B21DCVT080,HK1-2025-26,57,Trung bình,,0,,
B21DCVT081,HK1-2025-26,57,Trung bình,,0,,
B21DCVT083,HK1-2025-26,57,Trung bình,,0,,
B21DCVT006,HK1-2025-26,56,Trung bình,,0,,
B21DCVT019,HK1-2025-26,56,Trung bình,,0,,
B21DCVT022,HK1-2025-26,49,Yếu,,0,,
B21DCVT125,HK1-2025-26,48,Yếu,,0,,
B21DCVT100,HK1-2025-26,45,Yếu,,0,,
B21DCVT045,HK1-2025-26,66,Khá,,0,,
B21DCVT112,HK1-2025-26,63,Trung bình,,0,,
B21DCVT120,HK1-2025-26,61,Trung bình,,0,,
B21DCVT044,HK1-2025-26,58,Trung bình,,0,,
B21DCVT115,HK1-2025-26,54,Trung bình,,0,,
B21DCVT058,HK1-2025-26,52,Trung bình,,0,,
B21DCVT088,HK1-2025-26,50,Trung bình,,0,,
B21DCVT087,HK1-2025-26,49,Yếu,,0,,
B21DCVT056,HK1-2025-26,46,Yếu,,0,,
B21DCVT009,HK1-2025-26,79,Khá,,0,,
B21DCVT036,HK1-2025-26,71,Khá,,0,,
B21DCVT029,HK1-2025-26,48,Yếu,,0,,
B21DCVT028,HK1-2025-26,64,Trung bình,,0,,
B21DCCN078,HK1-2025-26,91,Xuất sắc,KKHT Loại Xuất sắc,8000000,,
B21DCCN047,HK1-2025-26,71,Khá,KKHT Loại Khá,1200000,,
B21DCCN112,HK1-2025-26,71,Khá,KKHT Loại Khá,1200000,,
B21DCCN118,HK1-2025-26,86,Tốt,KKHT Loại Giỏi,3600000,,
B21DCCN023,HK1-2025-26,80,Tốt,KKHT Loại Giỏi,3600000,,
B21DCCN129,HK1-2025-26,79,Khá,KKHT Loại Khá,1200000,,
B21DCCN042,HK1-2025-26,78,Khá,KKHT Loại Khá,1200000,,
B21DCCN024,HK1-2025-26,75,Khá,KKHT Loại Khá,1200000,,
B21DCCN065,HK1-2025-26,70,Khá,KKHT Loại Khá,1200000,,
B21DCCN020,HK1-2025-26,64,Trung bình,,0,,
B21DCCN038,HK1-2025-26,44,Yếu,,0,,
B21DCCN080,HK1-2025-26,81,Tốt,,0,,
B21DCCN106,HK1-2025-26,81,Tốt,,0,,
B21DCCN079,HK1-2025-26,73,Khá,,0,,
B21DCCN005,HK1-2025-26,69,Khá,,0,,
B21DCCN124,HK1-2025-26,59,Trung bình,,0,,
B21DCCN077,HK1-2025-26,89,Tốt,,0,,
B21DCCN105,HK1-2025-26,80,Tốt,,0,,
B21DCCN062,HK1-2025-26,78,Khá,,0,,
B21DCCN087,HK1-2025-26,78,Khá,,0,,
B21DCCN082,HK1-2025-26,77,Khá,,0,,
B21DCCN056,HK1-2025-26,76,Khá,,0,,
B21DCCN104,HK1-2025-26,76,Khá,,0,,
B21DCCN122,HK1-2025-26,76,Khá,,0,,
B21DCCN060,HK1-2025-26,74,Khá,,0,,
B21DCCN108,HK1-2025-26,74,Khá,,0,,
B21DCCN116,HK1-2025-26,73,Khá,,0,,
B21DCCN099,HK1-2025-26,70,Khá,,0,,
B21DCCN075,HK1-2025-26,69,Khá,,0,,
B21DCCN049,HK1-2025-26,63,Trung bình,,0,,
B21DCCN059,HK1-2025-26,63,Trung bình,,0,,
B21DCCN128,HK1-2025-26,61,Trung bình,,0,,
B21DCCN103,HK1-2025-26,48,Yếu,,0,,
B21DCCN117,HK1-2025-26,81,Tốt,,0,,
B21DCCN041,HK1-2025-26,77,Khá,,0,,
B21DCCN061,HK1-2025-26,73,Khá,,0,,
B21DCCN100,HK1-2025-26,73,Khá,,0,,
B21DCCN066,HK1-2025-26,72,Khá,,0,,
B21DCCN051,HK1-2025-26,71,Khá,,0,,
B21DCCN004,HK1-2025-26,69,Khá,,0,,
B21DCCN003,HK1-2025-26,66,Khá,,0,,
B21DCCN130,HK1-2025-26,66,Khá,,0,,
B21DCCN015,HK1-2025-26,59,Trung bình,,0,,
B21DCCN037,HK1-2025-26,49,Yếu,,0,,
B21DCCN114,HK1-2025-26,43,Yếu,,0,,
B21DCCN026,HK1-2025-26,85,Tốt,,0,,
B21DCCN094,HK1-2025-26,81,Tốt,,0,,
B21DCCN107,HK1-2025-26,75,Khá,,0,,
B21DCCN032,HK1-2025-26,70,Khá,,0,,
B21DCCN057,HK1-2025-26,70,Khá,,0,,
B21DCCN081,HK1-2025-26,70,Khá,,0,,
B21DCCN101,HK1-2025-26,70,Khá,,0,,
B21DCCN091,HK1-2025-26,69,Khá,,0,,
B21DCCN096,HK1-2025-26,69,Khá,,0,,
B21DCCN127,HK1-2025-26,69,Khá,,0,,
B21DCCN022,HK1-2025-26,68,Khá,,0,,
B21DCCN035,HK1-2025-26,68,Khá,,0,,
B21DCCN095,HK1-2025-26,68,Khá,,0,,
B21DCCN031,HK1-2025-26,67,Khá,,0,,
B21DCCN090,HK1-2025-26,67,Khá,,0,,
B21DCCN097,HK1-2025-26,67,Khá,,0,,
B21DCCN098,HK1-2025-26,67,Khá,,0,,
B21DCCN030,HK1-2025-26,66,Khá,,0,,
B21DCCN115,HK1-2025-26,66,Khá,,0,,
B21DCCN088,HK1-2025-26,65,Khá,,0,,
B21DCCN093,HK1-2025-26,65,Khá,,0,,
B21DCCN009,HK1-2025-26,63,Trung bình,,0,,
B21DCCN092,HK1-2025-26,62,Trung bình,,0,,
B21DCCN007,HK1-2025-26,61,Trung bình,,0,,
B21DCCN126,HK1-2025-26,60,Trung bình,,0,,
B21DCCN014,HK1-2025-26,58,Trung bình,,0,,
B21DCCN086,HK1-2025-26,58,Trung bình,,0,,
B21DCCN017,HK1-2025-26,57,Trung bình,,0,,
B21DCCN034,HK1-2025-26,57,Trung bình,,0,,
