ma_sinh_vien,hoc_ky,diem_ren_luyen,xep_loai_rl,loai_hoc_bong,muc_tien_hb,hinh_thuc_ky_luat,ly_do_ky_luat
B21DCVT001,HK1-2025-26,57,Trung bình,,0,,
B21DCVT003,HK1-2025-26,86,Tốt,KKHT loại 3,1200000,,
B21DCVT004,HK1-2025-26,58,Trung bình,,0,,
B21DCVT005,HK1-2025-26,67,Khá,,0,,
B21DCVT006,HK1-2025-26,75,Khá,,0,,
B21DCVT009,HK1-2025-26,82,Tốt,,0,,
B21DCVT012,HK1-2025-26,95,Xuất sắc,KKHT loại 1,3600000,,
B21DCVT014,HK1-2025-26,61,Trung bình,,0,,
B21DCVT017,HK1-2025-26,63,Trung bình,,0,,
B21DCVT018,HK1-2025-26,86,Tốt,KKHT loại 2,2400000,,
B21DCVT019,HK1-2025-26,63,Trung bình,,0,,
B21DCVT021,HK1-2025-26,50,Trung bình,,0,,
B21DCVT023,HK1-2025-26,74,Khá,,0,,
B21DCVT026,HK1-2025-26,71,Khá,,0,,
B21DCVT027,HK1-2025-26,84,Tốt,KKHT loại 3,1200000,,
B21DCVT032,HK1-2025-26,79,Khá,,0,,
B21DCVT035,HK1-2025-26,78,Khá,,0,,
B21DCVT036,HK1-2025-26,52,Trung bình,,0,,
B21DCVT037,HK1-2025-26,77,Khá,,0,,
B21DCVT038,HK1-2025-26,62,Trung bình,,0,,
B21DCVT039,HK1-2025-26,84,Tốt,KKHT loại 2,2400000,,
B21DCVT040,HK1-2025-26,51,Trung bình,,0,,
B21DCVT041,HK1-2025-26,62,Trung bình,,0,,
B21DCVT048,HK1-2025-26,89,Tốt,KKHT loại 2,2400000,,
B21DCVT053,HK1-2025-26,87,Tốt,KKHT loại 2,2400000,,
B21DCVT054,HK1-2025-26,97,Xuất sắc,KKHT loại 1,3600000,,
B21DCVT055,HK1-2025-26,68,Khá,,0,,
B21DCVT056,HK1-2025-26,73,Khá,,0,,
B21DCVT057,HK1-2025-26,91,Xuất sắc,KKHT loại 1,3600000,,
B21DCVT058,HK1-2025-26,89,Tốt,KKHT loại 2,2400000,,
B21DCVT060,HK1-2025-26,89,Tốt,KKHT loại 2,2400000,,
